subject,relation,object,new_topic,old_index
EXPORTS,rose compared,same period year,2,1479
EXPORTS,rose,55 pct,2,1480
EXPORTS OTHER,is IN,SHARPLY COLOMBIA Colombian exports other than coffee,2,1481
EXPORTS,rose compared,period year,2,1482
EXPORTS,rose compared,period last year,2,1483
TAFT BROADCASTING,has completed,purchase,6,1484
it,has completed,previously announced purchase,6,1485
it,has completed,purchase,6,1486
it,has completed,announced purchase of five Taft television stations,6,1487
TAFT BROADCASTING,has completed,announced purchase,6,1488
it,has completed,previously announced purchase of five Taft television stations,6,1489
it,has completed,purchase of five Taft television stations,6,1490
TAFT BROADCASTING,has completed,previously announced purchase,6,1491
TAFT BROADCASTING,has completed,previously announced purchase of five Taft television stations,6,1492
TAFT BROADCASTING,has completed,purchase of five Taft television stations,6,1493
it,has completed,announced purchase,6,1494
TAFT BROADCASTING,has completed,announced purchase of five Taft television stations,6,1495
TVXG,has,it,6,1496
TVXG,has,purchase,6,1497
FIRST INTERSTATE,EXPECTS,BRAZIL,3,1499
BRAZIL,CUT,1987 NET,3,1500
FIRST INTERSTATE,EXPECTS,ECUADOR LOAN ACTIONS,3,1501
ACTIONS,CUT,NET,3,1502
MOROCCO,is at,TENDERS,4,1503
TENDERS,is,TONNES,4,1504
QTR,diluted,NET,3,1505
QTR,adjusted,NET,3,1506
QTR,adjusted,Net,3,1507
QTR,adjusted,Shr,3,1508
cts,Pay,prior,3,1509
cts,Pay,Record,3,1510
SPAIN 'S FOREIGN RESERVES,RISE IN,FEBRUARY Spain 's reserves,2,1512
SPAIN 'S RESERVES,RISE IN,FEBRUARY Spain 's reserves,2,1513
SPAIN 'S RESERVES,RISE IN,FEBRUARY Spain 's foreign reserves,2,1514
SPAIN 'S FOREIGN RESERVES,RISE IN,FEBRUARY Spain 's foreign reserves,2,1515
QTR,given,LOSS,3,1516
QTR,given,Net,3,1517
QTR,given,Shr,3,1518
FEDERAL,is,WESTERN,3,1519
QTR,adjusted,NET,3,1520
QTR,adjusted,Shr,3,1521
QTR,adjusted,Net,3,1522
QTR,adjusted,cts,3,1523
TEST,is,FINAL,3,1524
Liberty Life Insurance Co,has,group insurance on July 1 subject to regulatory approvals,6,1525
PROT,is IN,ACQUISITION Protective Life Corp,6,1526
LIFE,is,PROTECTIVE,6,1527
Corp,has,letter,6,1528
Corp,has,regulatory,6,1529
Corp,has,intent,6,1530
EMCOR,COMPLETES,SALE OF STOCK,6,1533
EMCOR,COMPLETES SALE,INVESTORS Emcore said,6,1534
EMCOR,COMPLETES SALE,TO INVESTORS Emcore said,6,1535
EMCOR,COMPLETES,SALE,6,1536
EMCOR,is at,SALE,6,1537
BELGIAN ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's account surplus measured,2,1539
BELGIAN ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's current account surplus measured,2,1540
BELGIAN CURRENT ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's current account surplus measured,2,1541
CURRENT ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's current account surplus measured,2,1542
CURRENT ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's account surplus measured on cash basis,2,1543
ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's current account surplus measured on cash basis,2,1544
BELGIAN CURRENT ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's account surplus,2,1545
BELGIAN ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's current account surplus,2,1546
ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's current account surplus measured,2,1547
BELGIAN ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's current account surplus measured on cash basis,2,1548
ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's account surplus measured on cash basis,2,1549
BELGIAN CURRENT ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's account surplus measured on cash basis,2,1550
BELGIAN ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's account surplus measured on cash basis,2,1551
BELGIAN ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's account surplus,2,1552
ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's account surplus,2,1553
BELGIAN CURRENT ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's current account surplus,2,1554
BELGIAN CURRENT ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's account surplus measured,2,1555
CURRENT ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's current account surplus,2,1556
CURRENT ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's current account surplus measured on cash basis,2,1557
CURRENT ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's account surplus measured,2,1558
BELGIAN CURRENT ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's current account surplus measured on cash basis,2,1559
ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's account surplus measured,2,1560
CURRENT ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's account surplus,2,1561
ACCOUNT SURPLUS,WIDENS IN,1986 Belgium 's current account surplus,2,1562
industry sources,said by,outbreak,5,1564
industry sources,said by,outbreak of foot disease,5,1565
industry sources,said in,southwestern Matabeleland,5,1566
industry sources,said in,Matabeleland,5,1567
ZIMBABWE BEEF EXPORTS,is IN,JEOPARDY Zimbabwe 's beef exports to European Community potentially worth,5,1568
QTR,converted,NET,3,1572
QTR,converted,available,3,1573
QTR,converted,Shr,3,1574
QTR,converted,effective,3,1575
QTR,converted,cts,3,1576
SM TO ISSUE AMERICAN REALTY RIGHTS Southmark Corp,said,shareholders,6,1577
SM TO ISSUE AMERICAN REALTY RIGHTS Southmark Corp said,acquire,22 shares,6,1578
UAL Takeover speculation,fuel,heavy trading,6,1579
UAL Takeover speculation,fuel,trading in UAL Inc,6,1580
heavy trading,is in,UAL Inc,6,1581
UAL Takeover speculation,fuel,heavy trading in UAL Inc,6,1582
UAL Takeover speculation,fuel,trading,6,1583
speculation,fuel,heavy,6,1584
JERSEY,is,SOUTH,3,1586
qtr 1987,includes,"tax gain 500,000 dlrs",3,1588
qtr,includes,"tax gain 500,000 dlrs",3,1589
BANKSHARES,is,ALLIED,3,1590
BANKSHARES,includes,INC,3,1591
BANKSHARES,includes,ABGA,3,1592
BANKSHARES,includes,Net,3,1593
BANKSHARES,includes,QTR,3,1594
GALLEY,is,0,3,1597
EGYPT,CANCELS,WHEAT TENDER Egypt,4,1598
Egypt,has,tender,4,1599
Egypt,has,tonnes,4,1600
Egypt,has,Egyptian,4,1601
Egypt,has,origin,4,1602
PENTAGON,MANAGE,U,5,1603
PENTAGON,MANAGE,U,5,1604
has brightened,would post recovery at_time,year,2,1605
CANADA TRADE RISE,SEEN AS,START OF RECOVERY Canada 's trade picture,2,1606
CANADA TRADE RISE,SEEN AS,START,2,1607
210 MLN TONNES,is IN,MARCH,4,1610
210 MLN TONNES,is IN,MARCH,4,1611
USSR,ADDS,U,4,1616
USDA,DETAILS GRAIN STOCKS at_time,U,4,1617
GRAIN,DETAILS,STOCKS,4,1618
RIGHTS,received,PLAN,6,1619
STOP,is IN,2 FOR 1 SPLIT,3,1624
NET,CHANGE IN,EXPORT COMMITMENTS,4,1628
NET,CHANGE,COMMITMENTS,4,1629
PENTAGON,MANAGE,U,5,1630
PENTAGON,MANAGE,U,5,1631
USDA,ESTIMATES,EXPORTS,4,1635
USDA,ESTIMATES,SOUTH AFRICA CORN CROP,4,1636
USDA,ESTIMATES,AFRICA CORN CROP,4,1637
U,ESTIMATES,SOUTH,4,1638
board,voted,payable,3,1639
NATIONAL BEVERAGE,ACQUIRE,FAYGO BEVERAGES,6,1640
Corp,said,Beverages,6,1641
Corp,said,undisclosed,6,1642
Corp,said,amount,6,1643
Eaton Corp,has,Industrial Polymer division,6,1645
Co,signed,it,6,1646
Co,signed,definitive,6,1647
Co,signed,agreement,6,1648
Co,signed,division,6,1649
Co,signed,undisclosed,6,1650
Co,signed,price,6,1651
NEWS,ended,NETWORK,3,1653
NEWS,ended,Net,3,1654
NEWS,ended,INC,3,1655
SEASONAL EXPORTS,REPORTED,U,4,1657
EXPORTS,REPORTED,U,4,1658
EXPORTS,REPORTED,BY U,4,1659
SEASONAL EXPORTS,REPORTED,BY U,4,1660
EXPORTS,is,SEASONAL,4,1661
EXPORTS,REPORTED,U,4,1662
Industries,said,letter,6,1663
MORE GRAIN,is IN,86 87 USDA,4,1664
bid,acquire Holly Sugar Corp for,package,6,1665
filing,is with,Securities Commission,6,1666
DISNEY FAMILY,MAKES,BID,6,1667
bid,acquire Holly Sugar Corp for,package of cash,6,1668
bid,acquire,Holly Sugar Corp,6,1669
it,made,bid,6,1670
FROST,Pay,Semi-annual,3,1673
FROST,Pay,div,3,1674
FROST,Pay,cts,3,1675
FROST,Pay,prior,3,1676
FROST,Pay,Record,3,1677
"2,500 cable television subscribers",is in,east central Michigan,6,1680
it,said completed,acquisition,6,1681
it,said completed,acquisition of Welbac Cable Television Corp,6,1682
D,Pay,DEPARTMENTS,3,1684
D,Pay,prior,3,1685
D,Pay,INC,3,1686
WORLD SUPPLY DEMAND ESTIMATES,ISSUED,BY USDA,4,1689
WORLD SUPPLY DEMAND ESTIMATES,ISSUED,USDA,4,1690
WORLD,ISSUED,SUPPLY,4,1691
SALES,ACTIVITY,U,4,1695
GRAIN,is,COARSE,4,1698
ARGENTINE 1986/87 GRAIN OILSEED REGISTRATIONS Argentine grain board preliminary figures,show,1986/87 crop export registrations of grains,4,1700
GRAIN OILSEED REGISTRATIONS Argentine grain board preliminary figures,show,1986/87 crop export registrations of grains,4,1701
ARGENTINE GRAIN OILSEED REGISTRATIONS Argentine grain board preliminary figures,show,1986/87 crop export registrations,4,1702
ARGENTINE GRAIN OILSEED REGISTRATIONS Argentine grain board preliminary figures,show,1986/87 crop export registrations of grains,4,1703
1986/87 GRAIN OILSEED REGISTRATIONS Argentine grain board preliminary figures,show,1986/87 crop export registrations of grains,4,1704
GRAIN OILSEED REGISTRATIONS Argentine grain board preliminary figures,show,1986/87 crop export registrations,4,1705
ARGENTINE 1986/87 GRAIN OILSEED REGISTRATIONS Argentine grain board preliminary figures,show,1986/87 crop export registrations,4,1706
1986/87 GRAIN OILSEED REGISTRATIONS Argentine grain board preliminary figures,show,1986/87 crop export registrations,4,1707
WINN ENTERPRISES,said entered,agreement,6,1708
it,said entered,agreement,6,1709
agreement,sell,its Hawaiian dairy operations,6,1710
agreement,sell,its dairy operations,6,1711
WNN UNIT,SELLS,DAIRY Winn Enterprises ' Knudsen Foods Inc,6,1712
Inc,said,Hawaiian,6,1713
Inc,said,agreement,6,1714
NATIONAL BEVERAGE,ACQUIRE,FAYGO,6,1715
Corp,said,Beverages,6,1716
Corp,said,undisclosed,6,1717
Corp,said,amount,6,1718
DIVIDEND,Pay,cts,3,1725
DIVIDEND,Pay,prior,3,1726
DIVIDEND,Pay,Record,3,1727
PROPERTIES,Pay,NIP,3,1728
PROPERTIES,Pay,prior,3,1729
PROPERTIES,Pay,PAYOUT,3,1730
cts,Pay,prior,3,1731
cts,Pay,qtr,3,1732
cts,Pay,Record,3,1733
GRAIN SHIPS,were,six grain ships loading were waiting,1,1736
GRAIN SHIPS,were,six grain ships loading,1,1737
PRICES,OWNED,FARMER,4,1740
FUNDAMENTAL BROKERS,BUYS,PART,6,1742
leading inter-dealer broker,is in,U,6,1743
BROKERS,BUYS,PART,6,1744
BROKERS,BUYS,PART OF MKI BROKERS,6,1745
FUNDAMENTAL BROKERS,BUYS,PART OF MKI BROKERS,6,1746
BROKERS,is,FUNDAMENTAL,6,1747
BROKERS,is at,PART,6,1748
Inc,acquired,it,6,1750
Inc,acquired,assets,6,1751
unit,completed,acquisition,6,1752
Du Pont Co,has,Conoco Inc subsidiary,6,1753
its plan,sell,its business,6,1755
group,obtain,satisfactory financing,6,1756
its plan,sell,its international business,6,1757
group,obtain,financing,6,1758
it,has suspended,its plan,6,1759
MID-AMERICA,has,BANKS,3,1760
BANKS,is at,MID-AMERICA,3,1761
Corp,acquired,it,6,1762
Corp,acquired,Services,6,1763
Corp,acquired,British,6,1764
Corp,acquired,software,6,1765
it,received,inquiries concerning purchase of company,6,1773
it,received,inquiries concerning purchase,6,1774
it,received,inquiries,6,1775
it,buy,two Denver radio stations,6,1776
it,sold off,"119,800 its Spartech Corp common shares",6,1777
it,sold off,"119,800 its Spartech Corp shares",6,1778
SPTN STAKE Polycast Technology Corp,told,Securities Commission,6,1779
SPARTECH,sold off,"119,800 its Spartech Corp common shares",6,1780
SPARTECH,sold off,"119,800 its Spartech Corp shares",6,1781
SPARTECH,sold off,"119,800 of its Spartech Corp shares",6,1782
it,sold off,"119,800 of its Spartech Corp shares",6,1783
SPARTECH,sold off,"119,800 of its Spartech Corp common shares",6,1784
it,sold off,"119,800 of its Spartech Corp common shares",6,1785
its stake,is in,Spartech,6,1786
Corp,told,common,6,1787
Corp,told,Securities,6,1788
GRAIN,is at,SHIPMENTS,4,1789
GRAIN,were,SHIPMENTS,4,1790
IT,RECEIVED,47 DLR,6,1791
IT,RECEIVED,47 DLR,6,1792
HOSPITAL CORP SAYS,RECEIVED,47 DLR,6,1793
SAYS,RECEIVED,DLR,6,1794
CRUDE OIL NETBACKS UP,is IN,SHARPLY EUROPE,0,1796
47 pct working interest,is in,Broussard oil field,6,1797
Investment Inc,told Securities Commission at_time,ATCOR,6,1804
ATCO STAKE Great American Management,told Securities Commission at_time,ATCOR,6,1805
AMERICAN,is,GREAT,6,1806
Inc,told,Securities,6,1807
company,earned,152 mln U,6,1809
Ltd,expects,profits,6,1810
FIRM,HAS,14,6,1811
PARTNERSHIP,BUYS IPCO IHS STAKE OF,6,6,1812
PARTNERSHIP,BUYS,IPCO IHS STAKE,6,1813
IT,HAS RECEIVED,SOME ACQUISITION PROPOSALS,6,1815
FAIRVIEW,HAS,IT,6,1816
FAIRVIEW,HAS,PROPOSALS,6,1817
shareholders,approved,dlr,6,1820
CHILEAN TRADE SURPLUS,NARROWS SLIGHTLY IN,FEBRUARY chile 's trade surplus,2,1822
TRADE SURPLUS,NARROWS IN,FEBRUARY chile 's trade surplus narrowed,2,1823
TRADE SURPLUS,NARROWS IN,FEBRUARY chile 's trade surplus,2,1824
CHILEAN TRADE SURPLUS,NARROWS IN,FEBRUARY chile 's trade surplus,2,1825
CHILEAN TRADE SURPLUS,NARROWS SLIGHTLY IN,FEBRUARY chile 's trade surplus narrowed to 102,2,1826
TRADE SURPLUS,NARROWS IN,FEBRUARY chile 's trade surplus narrowed to 102,2,1827
TRADE SURPLUS,NARROWS SLIGHTLY IN,FEBRUARY chile 's trade surplus narrowed to 102,2,1828
CHILEAN TRADE SURPLUS,NARROWS SLIGHTLY IN,FEBRUARY chile 's trade surplus narrowed,2,1829
CHILEAN TRADE SURPLUS,NARROWS IN,FEBRUARY chile 's trade surplus narrowed,2,1830
TRADE SURPLUS,NARROWS SLIGHTLY IN,FEBRUARY chile 's trade surplus narrowed,2,1831
TRADE SURPLUS,NARROWS SLIGHTLY IN,FEBRUARY chile 's trade surplus,2,1832
CHILEAN TRADE SURPLUS,NARROWS IN,FEBRUARY chile 's trade surplus narrowed to 102,2,1833
TRADE,is,CHILEAN,2,1834
increased interest,is in,wheat,4,1836
GRAIN MARKET,REVIEW,Argentine grain market,4,1837
ARGENTINE GRAIN MARKET,REVIEW,Argentine grain market,4,1838
GRAIN,is,ARGENTINE,4,1839
ECUADOR CRUDE OIL OUTPUT,resume,oil output,0,1840
ECUADOR CRUDE OIL OUTPUT,resume,limited oil output,0,1841
ECUADOR CRUDE OIL OUTPUT,resume,crude oil output,0,1842
ECUADOR CRUDE OIL OUTPUT,resume,limited crude oil output,0,1843
ECUADOR CRUDE OIL OUTPUT,is,due,0,1844
ECUADOR CRUDE OIL OUTPUT,resume oil output on,May 8,0,1845
RICE,EXPORTS,FALL,4,1846
THAI RICE,EXPORTS FALL IN,WEEK,4,1847
RICE,EXPORTS FALL IN,WEEK TO APRIL 7 Thailand,4,1848
THAI RICE,EXPORTS,FALL,4,1849
RICE,EXPORTS FALL IN,WEEK,4,1850
THAI RICE,EXPORTS FALL IN,WEEK TO APRIL 7 Thailand,4,1851
RICE,is,THAI,4,1852
RICE,is at,FALL,4,1853
Thailand,exported,previous,4,1854
Thailand,exported,tonnes,4,1855
JAPAN,SEES,MARGINAL RISE,4,1856
JAPAN,SEES,RISE,4,1857
Japan,has,edible oil demand,4,1858
Agriculture Ministry,estimates,Japan 's edible oil demand,4,1859
Agriculture Ministry,estimates,Japan 's oil demand,4,1860
JAPAN,is at,RISE,4,1861
Ministry,estimates,oil,4,1862
Ministry,estimates,edible,4,1863
Ministry,estimates,demand,4,1864
JAPAN,WARNS,U,5,1866
KUWAIT INCREASES STAKE,has increased,its stake in Sime Darby Bhd,6,1867
KUWAIT INCREASES STAKE,has increased,its stake,6,1868
its stake,is in,Sime Darby Bhd,6,1869
KUWAIT INCREASES STAKE,is IN,SIME DARBY,6,1870
SMUGGLING,BLAMED FOR,CLOSURE OF HAITIAN SUGAR FIRM A sugar mill,4,1871
nation,has,second largest employer,4,1872
SMUGGLING,BLAMED FOR,CLOSURE,4,1873
mill,was,largest,4,1874
TAIWAN,ANNOUNCES,ROUND OF IMPORT TARIFF CUTS Taiwan,5,1875
TAIWAN,ANNOUNCES,NEW ROUND OF IMPORT TARIFF CUTS Taiwan,5,1876
TAIWAN,ANNOUNCES,ROUND,5,1877
move,balance,trade,5,1878
TAIWAN,ANNOUNCES,NEW ROUND,5,1879
officials,described,move to help,5,1880
trade talks,is with,Washington,5,1881
officials,described,move help,5,1882
officials,described,as move help,5,1883
officials,described,as move to help,5,1884
move,balance trade with,United States,5,1885
TAIWAN,is at,ROUND,5,1886
Taiwan,announced,plans,5,1887
Taiwan,announced,round,5,1888
Taiwan,announced,foreign,5,1889
Taiwan,announced,import,5,1890
British minister,said OF,SANCTIONS,5,1891
BRITISH MINISTER SAYS,WARNED,TOKYO,5,1892
it,was,understood,5,1893
HE,WARNED,TOKYO,5,1894
minister,said OF,SANCTIONS,5,1895
MINISTER SAYS,WARNED,TOKYO,5,1896
it,was,clearly understood,5,1897
MINISTER,is,BRITISH,5,1898
Uganda,has,Coffee Marketing Board,7,1899
dry spell,has damaged,"111,350 hectares of rice",4,1901
10 provinces,is in,central Philippines,4,1902
prolonged dry spell,has damaged,"111,350 hectares of rice",4,1903
prolonged spell,has damaged,"111,350 hectares",4,1904
prolonged spell,has damaged,"111,350 hectares of rice",4,1905
prolonged dry spell,has damaged,"111,350 hectares",4,1906
spell,has damaged,"111,350 hectares",4,1907
dry spell,has damaged,"111,350 hectares",4,1908
spell,has damaged,"111,350 hectares of rice",4,1909
DRY SPELL,is IN,PHILIPPINES DAMAGES AGRICULTURE CROPS,4,1910
SPELL,is,DRY,4,1911
PHILIPPINES,has,SPELL,4,1912
PHILIPPINES,is at,SPELL,4,1913
UNEMPLOYMENT,FALLS IN,MARCH Spain 's registered unemployment,2,1914
SPANISH UNEMPLOYMENT,FALLS IN,MARCH Spain 's unemployment,2,1915
SPANISH UNEMPLOYMENT,FALLS SLIGHTLY IN,MARCH Spain 's unemployment,2,1916
UNEMPLOYMENT,FALLS IN,MARCH Spain 's unemployment,2,1917
SPANISH UNEMPLOYMENT,FALLS IN,MARCH Spain 's registered unemployment,2,1918
SPANISH UNEMPLOYMENT,FALLS SLIGHTLY IN,MARCH Spain 's registered unemployment,2,1919
UNEMPLOYMENT,FALLS SLIGHTLY IN,MARCH Spain 's registered unemployment,2,1920
UNEMPLOYMENT,FALLS SLIGHTLY IN,MARCH Spain 's unemployment,2,1921
UNEMPLOYMENT,is,SPANISH,2,1922
Spain,registered,unemployment,2,1923
Spain,registered,people,2,1924
HUNGARY,CURB,DEFICIT Hungary,2,1925
HUNGARY,RAISES PRICES IN,EFFORT,2,1926
HUNGARY,RAISES,PRICES,2,1927
HUNGARY,is at,PRICES,2,1928
EFFORT,CURB,sharp,2,1929
EFFORT,CURB,DEFICIT,2,1930
government,must announce,cuts in spending,2,1932
it,is give,response,2,1933
government,must announce,harsh cuts in spending,2,1934
government,must announce cuts in,its May 14 statement,2,1935
it,is give,adequate response,2,1936
GOVERNMENT,MUST CUT,SPENDING,2,1937
it,is give,response to Australia 's economic problems,2,1938
AUSTRALIAN GOVERNMENT,MUST CUT,SPENDING,2,1939
it,is give,adequate response to Australia 's problems,2,1940
it,is give,response to Australia 's problems,2,1941
government,must announce,cuts,2,1942
it,is give,adequate response to Australia 's economic problems,2,1943
harsh cuts,is in,spending,2,1944
government,must announce,harsh cuts,2,1945
government,must announce cuts in,its May 14 economic statement,2,1946
GOVERNMENT,is,AUSTRALIAN,2,1947
>,said,to file for protection under Chapter 11 U,6,1948
>,said,to file for protection,6,1949
TEXACO,SEES,BUSINESS HIT BY BANKRUPTCY MOVE Texaco Inc TX,6,1950
its decision,file for,protection,6,1951
>,said,its decision,6,1952
TEXACO,SEES,BUSINESS LITTLE HIT BY BANKRUPTCY MOVE Texaco Inc TX,6,1953
>,said,file for protection under Chapter 11,6,1954
>,said,to file,6,1955
>,said,file for protection under Chapter 11 of U,6,1956
TEXACO,SEES,BUSINESS LITTLE HIT BANKRUPTCY MOVE Texaco Inc TX,6,1957
its decision,file for,protection under Chapter 11 U,6,1958
its decision,file for,protection under Chapter 11 of U,6,1959
its decision,file for,protection under Chapter 11,6,1960
>,said,file for protection,6,1961
>,said,to file for protection under Chapter 11 of U,6,1962
>,said,file for protection under Chapter 11 U,6,1963
TEXACO,SEES,BUSINESS HIT BANKRUPTCY MOVE Texaco Inc TX,6,1964
>,said,to file for protection under Chapter 11,6,1965
TX,said,decision,6,1966
MINING,SELLS,ACM STAKE Western Mining Corp Holdings Ltd,6,1968
WESTERN MINING,SELLS,ACM STAKE Western Mining Corp Holdings Ltd,6,1969
MINING,is,WESTERN,6,1970
wages,were,sharply higher,2,1971
YUGOSLAV ECONOMY,WORSENED IN,1986,2,1972
BANK DATA,SHOWS,National Bank economic data,2,1973
Yugoslavia,has,trade deficit,2,1974
BANK DATA,SHOWS,National Bank data,2,1975
wages,were,higher,2,1976
DATA,SHOWS,data,2,1977
DATA,SHOWS,economic,2,1978
DATA,SHOWS,shows,2,1979
DATA,SHOWS,trade,2,1980
DATA,SHOWS,higher,2,1981
DATA,SHOWS,deficit,2,1982
MALAYSIA 'S 1986 MANUFACTURING EXPORTS RISE 24 PCT Malaysia 's manufacturing exports,rose by,24,2,1985
MALAYSIA 'S MANUFACTURING EXPORTS RISE 24 PCT Malaysia 's manufacturing exports,rose by,24,2,1986
manufacturing,rose,exports,2,1987
OFFER,TALKS,3,6,1988
DOME,has,OFFER,6,1989
DOME,is at,OFFER,6,1990
OFFER,TALKS,DEBT,6,1991
BANGLADESH COST,FALLS IN,JANUARY Bangladesh 's cost of index,2,1992
BANGLADESH COST FALLS,fell,1,2,1993
BANGLADESH COST,FALLS IN,JANUARY Bangladesh 's cost of living index,2,1994
BANGLADESH COST,FALLS IN,JANUARY Bangladesh 's cost,2,1995
Ltd,said,sttement,6,1996
TRADE ISSUES,are starting,to run,5,1997
major initiatives,open,its market,5,1998
patience,is with,Japan,5,1999
TRADE ISSUES,run out,patience,5,2000
TRADE ISSUES,run out,patience with Japan,5,2001
EC 'S PATIENCE,is WITH,JAPAN Member states of European Community,5,2002
initiatives,open,its market,5,2003
MORGAN CRUCIBLE SAYS PROSPECTS,ARE,ENCOURAGING Morgan Crucible Co Plc,3,2004
MORGAN CRUCIBLE PRETAX PROFIT,RISES,6,3,2005
SWEDISH PRODUCTION,RISES,production,2,2006
INDUSTRIAL PRODUCTION,RISES,production,2,2007
SWEDISH INDUSTRIAL PRODUCTION,RISES,production,2,2008
INDUSTRIAL PRODUCTION,RISES,industrial production,2,2009
SWEDISH INDUSTRIAL PRODUCTION,RISES,Swedish production,2,2010
SWEDISH PRODUCTION,RISES,SHARPLY Swedish production,2,2011
PRODUCTION,RISES,production,2,2012
SWEDISH INDUSTRIAL PRODUCTION,RISES,Swedish industrial production,2,2013
SWEDISH INDUSTRIAL PRODUCTION,RISES,SHARPLY Swedish industrial production,2,2014
INDUSTRIAL PRODUCTION,RISES,Swedish production,2,2015
PRODUCTION,RISES,Swedish production,2,2016
PRODUCTION,RISES,Swedish industrial production,2,2017
SWEDISH INDUSTRIAL PRODUCTION,RISES,industrial production,2,2018
SWEDISH PRODUCTION,RISES,SHARPLY Swedish industrial production,2,2019
PRODUCTION,RISES,SHARPLY Swedish production,2,2020
INDUSTRIAL PRODUCTION,RISES,SHARPLY Swedish production,2,2021
SWEDISH PRODUCTION,RISES,Swedish industrial production,2,2022
INDUSTRIAL PRODUCTION,RISES,SHARPLY Swedish industrial production,2,2023
PRODUCTION,RISES,industrial production,2,2024
PRODUCTION,RISES,SHARPLY Swedish industrial production,2,2025
SWEDISH INDUSTRIAL PRODUCTION,RISES,SHARPLY Swedish production,2,2026
SWEDISH PRODUCTION,RISES,Swedish production,2,2027
SWEDISH PRODUCTION,RISES,industrial production,2,2028
INDUSTRIAL PRODUCTION,RISES,Swedish industrial production,2,2029
WILLIAMS,DETAILS,ACCEPTANCES,6,2031
WILLIAMS,DETAILS,ACCEPTANCES OF NORCROS OFFER,6,2032
DUTCH FEED COMPOUNDER,STARTS,CASE,5,2033
DUTCH COMPOUNDER,STARTS,CASE AGAINST EC LEVY A animal feed producer,5,2034
DUTCH COMPOUNDER,STARTS,CASE AGAINST EC LEVY A major animal feed producer,5,2035
COMPOUNDER,STARTS,CASE AGAINST EC LEVY A major animal feed producer,5,2036
DUTCH COMPOUNDER,STARTS,CASE,5,2037
Het Comite,told,Reuters,5,2038
FEED COMPOUNDER,STARTS,CASE,5,2039
FEED COMPOUNDER,STARTS,CASE AGAINST EC LEVY A animal feed producer,5,2040
FEED COMPOUNDER,STARTS,CASE AGAINST EC LEVY A major animal feed producer,5,2041
DUTCH FEED COMPOUNDER,STARTS,CASE AGAINST EC LEVY A animal feed producer,5,2042
COMPOUNDER,STARTS,CASE,5,2043
COMPOUNDER,STARTS,CASE AGAINST EC LEVY A animal feed producer,5,2044
DUTCH FEED COMPOUNDER,STARTS,CASE AGAINST EC LEVY A major animal feed producer,5,2045
COMPOUNDER,is at,CASE,5,2046
China,has,official,4,2047
HEPWORTH,SELLS,U,6,2049
BOND CORP,ACQUIRE,80 PCT,6,2050
BOND CORP,ACQUIRE,80 PCT OF MERLIN PETE Bond Corp Holdings Ltd,6,2051
CORP,is,0,6,2052
BOND,ACQUIRE,PCT,6,2053
domestic economy,revised down,forecasts contained in report,2,2054
INSTITUTES,DIVIDED ON,OUTLOOK,2,2055
INSTITUTES,DIVIDED FOR,ECONOMY,2,2056
leading West German economic research institutes,have failed,to agree,2,2057
five leading West German economic research institutes,have failed,to agree,2,2058
economy,revised down,forecasts contained in report,2,2059
INSTITUTES,DIVIDED FOR,GERMAN ECONOMY,2,2060
ARROW,is,BLUE,6,2061
ARROW,BUY,U,6,2062
BORG WARNER,AGREES,BUYOUT BY,6,2063
BORG WARNER,AGREES,TO BUYOUT BY,6,2064
BORG WARNER,AGREES,TO BUYOUT,6,2065
WARNER,BUYOUT,offer,6,2066
WARNER,BUYOUT,unwanted,6,2067
STATOIL,SEEKS,SHARE,6,2069
Norway,has,state oil company,6,2070
SHARE,SEEKS,THAI,6,2071
SHARE,SEEKS,GAS,6,2072
SHARE,SEEKS,FIELD,6,2073
company official,split,each shares,2,2074
CREDIT COMMERCIAL DE FRANCE,SPLITS,SHARES French commercial bank Credit Commercial de France,2,2075
it,is privatised at,end of month,2,2076
company official,split,each of shares,2,2077
company official,split,each of its shares,2,2078
it,is,when privatised at end,2,2079
four,increase number on,offer,2,2080
company official,split,each its shares,2,2081
